C_CourseID,C_CourseName,C_DepartmentID,C_InstructorID,C_Credits
160,Course160,61,14831,4
161,Course161,74,2083,4
162,Course162,37,23071,1
163,Course163,47,8737,4
164,Course164,28,1964,1
165,Course165,40,20236,2
166,Course166,26,6828,1
167,Course167,67,8160,3
168,Course168,68,10293,4
169,Course169,62,7489,1
170,Course170,24,14336,2
171,Course171,67,10231,1
172,Course172,51,11212,2
173,Course173,74,3099,4
174,Course174,42,11819,4
175,Course175,27,2636,1
176,Course176,34,23657,3
177,Course177,39,19863,3
178,Course178,2,12874,2
179,Course179,34,18990,2
180,Course180,22,9180,4
181,Course181,16,11416,4
182,Course182,65,13169,3
183,Course183,77,10996,4
184,Course184,56,23227,1
185,Course185,20,10219,1
186,Course186,35,13434,1
187,Course187,38,18124,3
188,Course188,48,7489,1
189,Course189,57,16222,3
190,Course190,4,422,1
191,Course191,36,16269,2
192,Course192,57,24495,1
193,Course193,26,5874,4
194,Course194,72,19142,4
195,Course195,55,23967,3
196,Course196,16,24231,2
197,Course197,73,9465,4
198,Course198,40,5125,1
199,Course199,73,4207,4
200,Course200,68,14199,4
201,Course201,48,15788,3
202,Course202,81,19205,1
203,Course203,56,2012,3
204,Course204,47,955,4
205,Course205,11,10558,3
206,Course206,63,17103,1
207,Course207,74,1950,4
208,Course208,75,1315,2
209,Course209,78,11718,4
210,Course210,28,18501,4
211,Course211,34,22195,4
212,Course212,24,17863,1
213,Course213,69,17729,1
214,Course214,82,16436,2
215,Course215,33,3562,4
216,Course216,30,5679,1
217,Course217,25,19866,3
218,Course218,54,21952,2
219,Course219,5,3071,2
220,Course220,14,3502,4
221,Course221,1,7314,4
222,Course222,4,5774,4
223,Course223,82,6082,4
224,Course224,8,22759,3
225,Course225,25,24947,1
226,Course226,19,2963,3
227,Course227,11,6037,4
228,Course228,69,1339,2
229,Course229,72,18992,2
230,Course230,11,13203,3
231,Course231,41,5874,4
232,Course232,40,12794,3
233,Course233,10,3165,4
234,Course234,10,20352,1
235,Course235,5,15308,1
236,Course236,8,14942,2
237,Course237,2,11357,2
238,Course238,59,22854,3
239,Course239,8,8451,3
240,Course240,9,22161,1
241,Course241,6,6540,1
242,Course242,39,8782,2
243,Course243,42,21749,1
244,Course244,8,20873,1
245,Course245,16,6237,3
246,Course246,15,14107,4
247,Course247,39,8808,2
248,Course248,30,17910,1
249,Course249,43,13364,2
250,Course250,83,23240,2
251,Course251,79,17393,4
252,Course252,38,3134,4
253,Course253,42,2590,4
254,Course254,13,4546,1
255,Course255,37,7705,1
256,Course256,60,11068,4
257,Course257,21,1245,1
258,Course258,13,626,2
259,Course259,21,10547,4
260,Course260,36,7705,1
261,Course261,72,13948,3
262,Course262,6,9207,4
263,Course263,39,14923,2
264,Course264,19,9259,1
265,Course265,40,20272,1
266,Course266,24,13267,1
267,Course267,70,3187,3
268,Course268,11,17740,4
269,Course269,74,21132,2
270,Course270,19,5460,3
271,Course271,20,590,3
272,Course272,1,13061,4
273,Course273,2,1655,2
274,Course274,67,4471,1
275,Course275,35,17383,2
276,Course276,7,21627,3
277,Course277,82,14013,3
278,Course278,48,11996,4
279,Course279,25,8485,1
280,Course280,49,15899,1
281,Course281,44,8422,1
282,Course282,9,2501,1
283,Course283,60,18566,3
284,Course284,78,8262,3
285,Course285,74,9784,1
286,Course286,6,22186,3
287,Course287,14,6537,3
288,Course288,40,21784,1
289,Course289,11,2200,3
290,Course290,32,24685,4
291,Course291,57,21941,1
292,Course292,75,7917,3
293,Course293,11,8171,1
294,Course294,66,12625,2
295,Course295,16,5538,1
296,Course296,60,23532,2
297,Course297,57,4874,2
298,Course298,83,19102,3
299,Course299,62,17605,3
300,Course300,71,12864,3
301,Course301,48,1692,2
302,Course302,8,9678,2
303,Course303,45,24883,2
304,Course304,75,15312,3
305,Course305,83,19084,2
306,Course306,23,3581,3
307,Course307,67,14487,2
308,Course308,57,8109,1
309,Course309,36,4147,3
310,Course310,28,19733,1
311,Course311,83,12119,2
312,Course312,2,14724,4
313,Course313,41,12754,3
314,Course314,10,8420,4
315,Course315,72,9985,1
316,Course316,55,9936,4
317,Course317,49,14105,1
318,Course318,65,4030,4
319,Course319,68,548,4
320,Course320,71,23156,4
321,Course321,20,11946,3
322,Course322,60,6153,2
323,Course323,15,21399,3
324,Course324,64,15854,1
325,Course325,28,9847,3
326,Course326,1,8914,3
327,Course327,45,11586,4
328,Course328,54,21793,3
329,Course329,27,17284,2
330,Course330,27,7015,3
331,Course331,43,20202,1
332,Course332,39,24887,4
333,Course333,27,22101,3
334,Course334,50,11726,3
335,Course335,15,424,3
336,Course336,11,7278,3
337,Course337,51,2222,2
338,Course338,49,24740,1
339,Course339,56,24294,2
340,Course340,23,5028,2
341,Course341,65,20324,1
342,Course342,15,15004,2
343,Course343,42,3790,3
344,Course344,25,15789,2
345,Course345,57,1715,3
346,Course346,46,20609,2
347,Course347,50,16054,2
348,Course348,34,18506,4
349,Course349,61,23347,2
350,Course350,41,14772,3
351,Course351,37,7289,3
352,Course352,76,4194,4
353,Course353,48,20288,4
354,Course354,51,9673,4
355,Course355,68,13204,1
356,Course356,40,7077,1
357,Course357,56,207,2
358,Course358,78,20530,1
359,Course359,75,14839,3
360,Course360,81,8121,2
361,Course361,32,16040,4
362,Course362,63,147,2
363,Course363,43,18034,3
364,Course364,81,449,2
365,Course365,67,8173,4
366,Course366,15,277,1
367,Course367,14,391,1
368,Course368,38,18439,3
369,Course369,55,20513,2
370,Course370,34,14554,3
371,Course371,1,21941,4
372,Course372,23,4351,1
373,Course373,27,18137,3
374,Course374,62,17090,4
375,Course375,67,16998,2
376,Course376,20,2278,2
377,Course377,51,2186,3
378,Course378,44,15480,2
379,Course379,32,10665,2
380,Course380,78,18792,4
381,Course381,56,21927,3
382,Course382,9,10064,4
383,Course383,9,12394,4
384,Course384,25,15558,2
385,Course385,20,20579,4
386,Course386,67,15660,2
387,Course387,43,15583,1
388,Course388,82,4200,2
389,Course389,20,18394,1
390,Course390,13,14353,4
391,Course391,61,17495,4
392,Course392,27,17915,1
393,Course393,62,24406,3
394,Course394,35,5003,2
395,Course395,36,1506,3
396,Course396,45,4792,4
397,Course397,77,7432,3
398,Course398,68,1170,3
399,Course399,54,20794,2
400,Course400,6,3170,2
401,Course401,45,21497,1
402,Course402,4,14069,3
403,Course403,74,10236,3
404,Course404,34,10837,1
405,Course405,29,259,4
406,Course406,44,3203,1
407,Course407,18,21945,2
408,Course408,3,8671,4
409,Course409,36,20212,2
410,Course410,75,17234,1
411,Course411,25,9878,1
412,Course412,29,11424,3
413,Course413,17,15583,3
414,Course414,80,1099,4
415,Course415,75,24883,4
416,Course416,29,7511,2
417,Course417,5,22348,2
418,Course418,48,18624,2
419,Course419,80,16889,3
420,Course420,30,18242,2
421,Course421,2,4330,1
422,Course422,55,16704,1
423,Course423,51,6926,2
424,Course424,54,24401,1
425,Course425,16,15485,1
426,Course426,55,23034,4
427,Course427,48,10487,4
428,Course428,79,1629,1
429,Course429,43,22627,3
430,Course430,81,10628,1
431,Course431,33,10153,4
432,Course432,23,1345,1
433,Course433,57,23274,1
434,Course434,45,18879,3
435,Course435,18,7643,3
436,Course436,13,14826,2
437,Course437,68,1334,3
438,Course438,42,14110,3
439,Course439,17,11824,3
440,Course440,33,23337,3
441,Course441,80,23584,4
442,Course442,19,22444,2
443,Course443,49,22692,3
444,Course444,16,14910,1
445,Course445,2,197,3
446,Course446,3,11138,2
447,Course447,46,21596,1
448,Course448,53,12566,3
449,Course449,77,19024,1
450,Course450,32,24210,2
451,Course451,30,21365,2
452,Course452,71,14818,2
453,Course453,48,21272,2
454,Course454,9,14004,4
455,Course455,15,17415,4
456,Course456,78,13340,3
457,Course457,9,16164,3
458,Course458,25,20023,4
459,Course459,34,17895,2
460,Course460,83,15112,3
461,Course461,1,13653,1
462,Course462,77,15966,2
463,Course463,79,22452,2
464,Course464,65,15031,2
465,Course465,1,12583,4
466,Course466,71,14101,1
467,Course467,41,9411,4
468,Course468,59,7550,1
469,Course469,6,6275,4
470,Course470,63,113,3
471,Course471,15,21049,3
472,Course472,25,9018,3
473,Course473,30,19168,1
474,Course474,1,24189,3
475,Course475,32,13992,4
476,Course476,42,5125,3
477,Course477,39,76,1
478,Course478,68,20440,2
479,Course479,15,3784,2
480,Course480,42,10482,4
481,Course481,22,22448,1
482,Course482,62,11046,3
483,Course483,68,16095,3
484,Course484,10,217,1
485,Course485,55,10120,2
486,Course486,59,21866,1
487,Course487,13,6498,4
488,Course488,18,21531,1
489,Course489,8,4284,3
490,Course490,20,13059,3
491,Course491,59,5264,4
492,Course492,39,2254,1
493,Course493,43,19996,3
494,Course494,60,5941,1
495,Course495,83,24174,3
496,Course496,23,4575,4
497,Course497,42,18946,2
498,Course498,12,18051,2
499,Course499,76,18085,2
500,Course500,75,24380,1
501,Course501,73,12047,1
502,Course502,81,10783,4
503,Course503,45,3661,1
504,Course504,79,18497,3
505,Course505,17,12183,2
506,Course506,57,23711,3
507,Course507,77,8204,2
508,Course508,37,7089,1
509,Course509,78,15807,3
510,Course510,58,13139,1
511,Course511,18,17272,1
512,Course512,56,17947,4
513,Course513,77,267,4
514,Course514,61,22622,4
515,Course515,22,17931,4
516,Course516,13,12665,2
517,Course517,13,12338,1
518,Course518,40,6151,2
519,Course519,26,15633,1
520,Course520,61,3717,1
521,Course521,83,7517,3
522,Course522,67,24592,4
523,Course523,59,23548,2
524,Course524,17,15731,1
525,Course525,1,7083,1
526,Course526,10,13128,3
527,Course527,74,5736,3
528,Course528,67,2910,2
529,Course529,83,6346,1
530,Course530,36,482,3
531,Course531,81,9697,3
532,Course532,46,12388,2
533,Course533,7,2041,3
534,Course534,8,24614,3
535,Course535,51,22658,4
536,Course536,66,8356,3
537,Course537,30,21770,3
538,Course538,21,21103,4
539,Course539,72,13443,3
540,Course540,19,5949,2
541,Course541,4,19463,2
542,Course542,39,4904,3
543,Course543,25,5219,3
544,Course544,30,3377,2
545,Course545,40,5649,3
546,Course546,73,12667,3
547,Course547,61,20745,1
548,Course548,16,24924,3
549,Course549,67,6354,2
550,Course550,66,22020,3
551,Course551,1,16989,1
552,Course552,29,7427,3
553,Course553,58,9277,4
554,Course554,63,3790,1
555,Course555,65,15345,4
556,Course556,61,8727,3
557,Course557,68,5711,2
558,Course558,71,19738,1
559,Course559,61,3715,3
560,Course560,33,5341,3
561,Course561,31,8745,3
562,Course562,48,6327,2
563,Course563,50,19122,1
564,Course564,42,15523,1
565,Course565,36,2846,2
566,Course566,80,12396,3
567,Course567,76,10233,3
568,Course568,60,18126,3
569,Course569,49,14880,2
570,Course570,30,6234,3
571,Course571,29,5840,3
572,Course572,44,8162,4
573,Course573,38,9454,3
574,Course574,28,23582,2
575,Course575,53,11628,3
576,Course576,72,20590,4
577,Course577,73,13136,3
578,Course578,38,10010,1
579,Course579,66,11136,3
580,Course580,57,5570,4
581,Course581,82,23981,2
582,Course582,53,16060,4
583,Course583,4,22882,4
584,Course584,76,11427,2
585,Course585,81,10486,2
586,Course586,3,10401,3
587,Course587,70,3548,4
588,Course588,18,19692,1
589,Course589,5,3570,3
590,Course590,5,17546,4
591,Course591,52,16015,2
592,Course592,17,7722,3
593,Course593,27,7641,2
594,Course594,48,1247,1
595,Course595,48,11764,2
596,Course596,56,9335,2
597,Course597,70,14058,4
598,Course598,83,19814,1
599,Course599,80,2432,3
600,Course600,18,10439,1
601,Course601,21,16420,4
602,Course602,31,1214,3
603,Course603,12,22983,1
604,Course604,3,23884,4
605,Course605,34,11145,1
606,Course606,72,4099,4
607,Course607,31,23334,3
608,Course608,60,23338,1
609,Course609,39,14120,2
610,Course610,27,6816,4
611,Course611,3,6995,4
612,Course612,49,4989,1
613,Course613,53,8209,4
614,Course614,23,14536,3
615,Course615,34,10397,4
616,Course616,82,13980,4
617,Course617,10,19334,3
618,Course618,50,21358,2
619,Course619,59,6095,3
620,Course620,43,18466,2
621,Course621,7,9665,4
622,Course622,4,12058,4
623,Course623,48,24717,2
624,Course624,4,5283,3
625,Course625,4,21354,2
626,Course626,13,18341,2
627,Course627,3,4635,4
628,Course628,43,11589,3
629,Course629,52,16719,3
630,Course630,26,13808,3
631,Course631,70,5591,2
632,Course632,37,7543,3
633,Course633,47,13172,1
634,Course634,28,3166,4
635,Course635,65,1408,2
636,Course636,28,1745,4
637,Course637,73,16925,1
638,Course638,63,2983,3
639,Course639,64,16906,2
640,Course640,28,14164,3
641,Course641,69,1573,1
642,Course642,25,11127,4
643,Course643,24,5520,4
644,Course644,43,10255,4
645,Course645,23,13924,2
646,Course646,77,1923,1
647,Course647,44,13231,1
648,Course648,13,8533,3
649,Course649,35,16890,1
650,Course650,9,19396,1
651,Course651,57,9516,4
652,Course652,25,21916,2
653,Course653,80,1355,2
654,Course654,23,6199,2
655,Course655,26,8080,3
656,Course656,9,19705,3
657,Course657,70,18061,3
658,Course658,48,15487,4
659,Course659,65,23571,3
660,Course660,12,9031,3
661,Course661,75,18378,2
662,Course662,79,15852,1
663,Course663,63,345,2
664,Course664,71,1382,3
665,Course665,50,5776,1
666,Course666,66,22638,3
667,Course667,64,12361,2
668,Course668,33,8220,4
669,Course669,35,4550,1
670,Course670,56,1904,4
671,Course671,43,5797,1
672,Course672,62,9153,2
673,Course673,60,23098,2
674,Course674,56,19504,1
675,Course675,17,24977,1
676,Course676,43,3439,1
677,Course677,52,23164,1
678,Course678,81,6031,1
679,Course679,65,1924,3
680,Course680,38,19083,3
681,Course681,11,1903,1
682,Course682,37,1253,1
683,Course683,61,5398,3
684,Course684,1,15694,2
685,Course685,47,4691,3
686,Course686,58,14115,3
687,Course687,43,5024,4
688,Course688,73,20476,2
689,Course689,34,8663,2
690,Course690,70,18153,4
691,Course691,33,7978,4
692,Course692,79,4218,1
693,Course693,40,6372,1
694,Course694,63,6138,3
695,Course695,51,21248,1
696,Course696,56,7478,2
697,Course697,64,12465,2
698,Course698,58,6274,1
699,Course699,66,5772,2
700,Course700,45,6859,3
701,Course701,54,11438,1
702,Course702,49,16658,2
703,Course703,12,23967,3
704,Course704,1,5517,2
705,Course705,78,14461,2
706,Course706,4,8479,4
707,Course707,76,7360,4
708,Course708,12,17916,4
709,Course709,60,3881,3
710,Course710,42,9475,4
711,Course711,78,11484,1
712,Course712,14,11809,4
713,Course713,54,19408,3
714,Course714,9,23325,2
715,Course715,53,21958,2
716,Course716,62,11349,1
717,Course717,20,14260,1
718,Course718,49,2067,2
719,Course719,58,20245,4
720,Course720,2,18808,1
721,Course721,32,24557,4
722,Course722,14,11820,4
723,Course723,27,1166,2
724,Course724,27,7616,2
725,Course725,79,3657,3
726,Course726,67,10538,4
727,Course727,47,2086,3
728,Course728,81,15767,1
729,Course729,65,7854,2
730,Course730,65,470,3
731,Course731,47,473,3
732,Course732,58,2005,2
733,Course733,73,5370,2
734,Course734,16,17240,4
735,Course735,53,1778,3
736,Course736,19,14797,2
737,Course737,83,22479,2
738,Course738,67,24479,1
739,Course739,73,12768,2
740,Course740,72,16226,4
741,Course741,30,10681,2
742,Course742,20,7614,3
743,Course743,61,10187,4
744,Course744,41,12807,2
745,Course745,48,5149,3
746,Course746,57,16874,4
747,Course747,46,1627,3
748,Course748,37,6371,3
749,Course749,78,24525,1
750,Course750,64,1332,1
751,Course751,78,5601,3
752,Course752,71,11888,1
753,Course753,58,23363,3
754,Course754,67,7544,2
755,Course755,42,22046,1
756,Course756,64,20525,4
757,Course757,38,12575,4
758,Course758,5,8929,1
759,Course759,47,16706,1
760,Course760,71,10110,3
761,Course761,57,23260,3
762,Course762,53,14332,3
763,Course763,33,18978,1
764,Course764,78,272,1
765,Course765,31,452,3
766,Course766,34,12647,1
767,Course767,24,18006,4
768,Course768,2,22655,2
769,Course769,36,8775,3
770,Course770,32,5485,3
771,Course771,69,12660,3
772,Course772,5,15034,4
773,Course773,30,12518,3
774,Course774,43,6650,1
775,Course775,82,1588,1
776,Course776,31,2480,3
777,Course777,31,8904,1
778,Course778,46,14781,1
779,Course779,36,9187,2
780,Course780,75,24350,4
781,Course781,64,20248,4
782,Course782,80,18835,3
783,Course783,32,14702,1
784,Course784,62,14858,1
785,Course785,68,9550,4
786,Course786,16,4472,2
787,Course787,51,2852,3
788,Course788,47,8617,1
789,Course789,4,14342,1
790,Course790,59,10790,3
791,Course791,36,16717,1
792,Course792,70,13087,3
793,Course793,52,22879,2
794,Course794,18,6424,2
795,Course795,42,13991,4
796,Course796,79,12385,2
797,Course797,77,21955,3
798,Course798,64,19355,3
799,Course799,38,18591,3
800,Course800,33,3437,2
801,Course801,4,20729,2
802,Course802,19,24479,2
803,Course803,79,4720,4
804,Course804,54,7618,3
805,Course805,69,13877,3
806,Course806,41,86,4
807,Course807,1,10076,1
808,Course808,59,11398,2
809,Course809,17,10185,2
810,Course810,79,6974,4
811,Course811,70,1116,3
812,Course812,58,12857,2
813,Course813,37,11032,3
814,Course814,43,18046,3
815,Course815,54,23756,1
816,Course816,53,21359,2
817,Course817,66,23032,3
818,Course818,52,6625,2
819,Course819,62,13458,3
820,Course820,19,7874,2
821,Course821,66,660,1
822,Course822,76,16238,1
823,Course823,32,9044,3
824,Course824,71,19254,4
825,Course825,50,10995,3
826,Course826,13,23256,2
827,Course827,36,9775,2
828,Course828,35,17504,2
829,Course829,74,15799,4
830,Course830,20,14600,1
831,Course831,77,8697,4
832,Course832,83,10169,2
833,Course833,56,18495,4
834,Course834,76,4746,1
835,Course835,32,1540,3
836,Course836,78,14105,4
837,Course837,4,8879,4
838,Course838,62,20936,2
839,Course839,65,3027,1
840,Course840,29,23984,1
841,Course841,31,7131,2
842,Course842,67,3585,2
843,Course843,25,1200,4
844,Course844,24,2361,1
845,Course845,28,16463,3
846,Course846,5,911,4
847,Course847,15,9766,4
848,Course848,34,16059,2
849,Course849,35,1415,3
850,Course850,81,20643,3
851,Course851,30,22968,2
852,Course852,26,9050,1
853,Course853,64,11477,4
854,Course854,10,5645,1
855,Course855,20,2159,3
856,Course856,62,12014,1
857,Course857,66,24817,4
858,Course858,70,342,4
859,Course859,24,22445,4
860,Course860,5,23275,3
861,Course861,31,1080,4
862,Course862,14,13612,4
863,Course863,40,13335,4
864,Course864,81,17799,4
865,Course865,46,6749,3
866,Course866,57,15374,1
867,Course867,17,24129,1
868,Course868,20,8244,2
869,Course869,43,22304,2
870,Course870,68,10686,4
871,Course871,43,22373,4
872,Course872,81,14497,4
873,Course873,2,15640,1
874,Course874,79,2003,2
875,Course875,3,17298,3
876,Course876,57,2986,3
877,Course877,76,1331,4
878,Course878,1,22096,1
879,Course879,24,14045,4
880,Course880,20,12240,3
881,Course881,72,20028,4
882,Course882,47,19023,4
883,Course883,47,9628,3
884,Course884,57,3317,4
885,Course885,5,13440,3
886,Course886,76,802,3
887,Course887,4,18769,3
888,Course888,23,8509,4
889,Course889,35,20365,4
890,Course890,67,18131,3
891,Course891,39,83,3
892,Course892,70,2,3
893,Course893,3,15149,4
894,Course894,49,16560,4
895,Course895,37,5683,2
896,Course896,15,21969,2
897,Course897,42,5791,3
898,Course898,49,22630,2
899,Course899,60,5729,4
900,Course900,28,2391,3
901,Course901,27,14653,2
902,Course902,16,14888,3
903,Course903,74,17591,3
904,Course904,36,13402,2
905,Course905,67,12027,2
906,Course906,3,5764,4
907,Course907,64,22598,4
908,Course908,1,21563,3
909,Course909,62,8403,3
910,Course910,19,13513,3
911,Course911,59,24134,2
912,Course912,12,17997,2
913,Course913,2,6419,4
914,Course914,81,6733,2
915,Course915,56,13606,4
916,Course916,16,7773,3
917,Course917,34,22740,3
918,Course918,35,2275,1
919,Course919,43,12589,4
920,Course920,15,16344,4
921,Course921,13,5725,3
922,Course922,3,14462,2
923,Course923,45,8910,4
924,Course924,68,11919,4
925,Course925,34,23698,1
926,Course926,66,7633,4
927,Course927,11,19339,3
928,Course928,78,13663,4
929,Course929,69,21882,3
930,Course930,45,16078,4
931,Course931,34,14992,1
932,Course932,68,15981,4
933,Course933,77,1228,3
934,Course934,51,12379,1
935,Course935,30,12835,2
936,Course936,79,14622,1
937,Course937,37,14857,4
938,Course938,53,18840,2
939,Course939,42,23134,3
940,Course940,67,19789,4
941,Course941,67,5021,4
942,Course942,17,11613,4
943,Course943,14,15263,1
944,Course944,59,6039,4
945,Course945,72,23377,1
946,Course946,28,5881,3
947,Course947,23,2676,2
948,Course948,7,11501,2
949,Course949,23,983,1
950,Course950,24,8710,1
951,Course951,31,8729,2
952,Course952,58,6764,2
953,Course953,21,8629,2
954,Course954,55,23232,1
955,Course955,57,12492,2
956,Course956,70,24162,1
957,Course957,73,8171,1
958,Course958,82,7913,2
959,Course959,4,4345,1
960,Course960,77,2053,2
961,Course961,15,762,2
962,Course962,18,23167,3
963,Course963,72,10248,4
964,Course964,7,13232,4
965,Course965,42,2201,2
966,Course966,41,7285,4
967,Course967,4,9457,2
968,Course968,52,14926,3
969,Course969,71,235,4
970,Course970,22,5812,4
971,Course971,57,9149,2
972,Course972,76,15268,4
973,Course973,12,10779,1
974,Course974,50,10946,3
975,Course975,82,4511,3
976,Course976,19,14850,3
977,Course977,49,22843,4
978,Course978,33,6165,3
979,Course979,62,9021,3
980,Course980,78,16040,2
981,Course981,22,2285,2
982,Course982,6,9188,2
983,Course983,10,2161,1
984,Course984,50,22535,2
985,Course985,21,2189,3
986,Course986,61,19967,3
987,Course987,74,16382,4
988,Course988,54,24605,1
989,Course989,81,2547,3
990,Course990,72,20904,4
991,Course991,28,6729,3
992,Course992,41,2135,3
993,Course993,50,13935,2
994,Course994,40,1432,4
995,Course995,21,2858,3
996,Course996,33,20413,4
997,Course997,38,11380,3
998,Course998,38,10216,1
999,Course999,5,14550,3
1000,Course1000,6,8265,1
1001,Course1001,73,13524,2
1002,Course1002,9,22178,4
1003,Course1003,59,8144,2
1004,Course1004,71,23551,3
1005,Course1005,13,12049,3
1006,Course1006,57,11796,3
1007,Course1007,50,12643,1
1008,Course1008,43,3783,1
1009,Course1009,71,7733,1
1010,Course1010,34,8513,3
1011,Course1011,2,13514,1
1012,Course1012,2,22,3
1013,Course1013,43,2223,3
1014,Course1014,48,4981,1
1015,Course1015,69,14479,2
1016,Course1016,47,7905,1
1017,Course1017,41,21578,4
1018,Course1018,48,5526,2
1019,Course1019,38,17059,3
1020,Course1020,8,17369,2
1021,Course1021,29,2361,1
1022,Course1022,52,11467,3
1023,Course1023,28,5469,2
1024,Course1024,16,6005,1
1025,Course1025,48,14507,1
1026,Course1026,66,183,2
1027,Course1027,24,8447,2
1028,Course1028,39,676,4
1029,Course1029,69,19791,4
1030,Course1030,38,22636,4
1031,Course1031,33,8828,4
1032,Course1032,51,24594,1
1033,Course1033,9,18055,4
1034,Course1034,59,21411,4
1035,Course1035,15,24564,1
1036,Course1036,61,6857,1
1037,Course1037,5,12790,1
1038,Course1038,65,5005,2
1039,Course1039,33,3636,4
1040,Course1040,69,16415,1
1041,Course1041,37,9558,2
1042,Course1042,24,21578,3
1043,Course1043,34,2497,3
1044,Course1044,28,20889,4
1045,Course1045,52,6733,1
1046,Course1046,12,24509,4
1047,Course1047,34,23473,1
1048,Course1048,1,16554,1
1049,Course1049,40,17926,4
1050,Course1050,25,2350,1
1051,Course1051,52,20843,1
1052,Course1052,66,17117,4
1053,Course1053,34,2640,4
1054,Course1054,74,24231,2
1055,Course1055,29,12895,3
1056,Course1056,37,24490,3
1057,Course1057,75,17846,3
1058,Course1058,11,1410,4
1059,Course1059,39,8561,1
1060,Course1060,71,9089,1
1061,Course1061,55,629,3
1062,Course1062,32,8360,2
